German,English,Category
der Computer,The computer,alle Wörter
der Stuhl,The chair,alle Wörter
das Handy,The phone,alle Wörter
der Laptop,The laptop,alle Wörter
der Tisch,The table,alle Wörter
das Foto,The photo,alle Wörter
das Bild,The image,alle Wörter
der Schlüssel,The key,alle Wörter
der Kasten,The wardrobe,alle Wörter
das Papier,The paper,alle Wörter
der Stift,The pencil,alle Wörter
der Kühlschrank,The fridge,alle Wörter
das Notizbuch,The notebook,alle Wörter
das Sofa,The sofa,alle Wörter
die Handtasche,The purse,alle Wörter
die Kaffeemaschine,The coffee machine,alle Wörter
das Bett,The bed,alle Wörter
die Bank,The bank,alle Wörter
der Geschirrspüler,The dishwasher,alle Wörter
das Regal,The shelf,alle Wörter
die Tafel,The board,alle Wörter
die Waschmaschine,The washing machine,alle Wörter
das Fenster,The window,alle Wörter
die Tür,The door,alle Wörter
die Kassa,The cash register,alle Wörter
die Flasche,The bottle,alle Wörter
die Nacht,The night,alle Wörter
der Tag,The day,alle Wörter
die Stunde,The hour,alle Wörter
die Minute,The minute,alle Wörter
die Sekunde,The second,alle Wörter
die Zeit,The time,alle Wörter
die Uhr,The clock,alle Wörter
die Person,the person,alle Wörter
die Telefonnummer,the phone number,alle Wörter
die Adresse,the address,alle Wörter
der Name,the name,alle Wörter
das Kind,the child,alle Wörter
das Land,the country,alle Wörter
die Sprache,the language,alle Wörter
der Fernseher,the TV,alle Wörter
das Glas,the glass,alle Wörter
das Geschirr,the dishes,alle Wörter
der Löffel,the spoon,alle Wörter
der Kugelschreiber,the pen,alle Wörter
der Radiergummi,the eraser,alle Wörter
der Spitzer,the sharpener,alle Wörter
der Rucksack,the backpack,alle Wörter
die Postleitzahl,the postcode,alle Wörter
die Stiege,the unit of apartments,alle Wörter
die Schere,the scissors,alle Wörter
das Buch,the book,alle Wörter
das Video,the video,alle Wörter
das Bier,the beer,alle Wörter
der Ort,"the town, the city",alle Wörter
das Wort,the word,alle Wörter
das Ende,the end,alle Wörter
der Monat,the month,alle Wörter
die Woche,the week,alle Wörter
das Jahr,the year,alle Wörter
das Auto,the car,alle Wörter
der Kurs,the course,alle Wörter
die Frage,the question,alle Wörter
die Tasse,the cup,alle Wörter
das Gegenteil,the opposite word,alle Wörter
die Bahn,the railway,alle Wörter
der Zug,the train,alle Wörter
die Gruppe,the group,alle Wörter
die Karte,the map,alle Wörter
das Haar,the hair,alle Wörter
die Schokolade,the chocolate,alle Wörter
die Regel,the rule,alle Wörter
die Matratze,the mattress,alle Wörter
die Bedeutung,the meaning,alle Wörter
der Ball,the ball,alle Wörter
der Hunger,the hunger,alle Wörter
die Pause,the pause,alle Wörter
der Punkt,"the dot, period",alle Wörter
die List,the list,alle Wörter
der Bus,the bus,alle Wörter
das Taxi,the taxi,alle Wörter
der Salat,the salad,alle Wörter
der Nachbar,the neighbor,alle Wörter
der Name,the name,alle Wörter
die Toilette,the toilet,alle Wörter
das Handtuch,the towel,alle Wörter
das Zimmer,the room,alle Wörter
die Küche,the kitchen,alle Wörter
das Büro,the office,alle Wörter
der Sessel,the sofa chair,alle Wörter
