German,English,Category
treffen,to meet,Verben 
werfen,to throw,Verben 
nehmen,to take,Verben 
sprechen,to speak,Verben 
sehen,to see,Verben 
geben,to give,Verben 
messen,to measure,Verben 
helfen,to help,Verben 
brechen,to break,Verben 
lesen,to read,Verben 
schreiben,to write,Verben 
essen,to eat,Verben 
vergessen,to forget,Verben 
schlafen,to sleep,Verben 
laufen,to run,Verben 
fahren,to ride,Verben 
waschen,to wash,Verben 
fangen,to catch,Verben 
fallen,to fall,Verben 
tragen,to carry,Verben 
schlagen,to beat,Verben 
halten,"to stop, to hold",Verben 
spielen,to play,Verben 
denken,to think,Verben 
sitzen,to sit,Verben 
kommen,to come,Verben 
wohnen,to live in a place,Verben 
leben,to live (alive),Verben 
stehen,to stand up,Verben 
verstehen,to understand,Verben 
hören,"to hear, to listen",Verben 
kochen,to cook,Verben 
singen,to sing,Verben 
zählen,to count,Verben 
zahlen,to pay,Verben 
lernen,to learn,Verben 
machen,to do,Verben 
lachen,to laugh,Verben 
schwimmen,to swim,Verben 
lieben,to love,Verben 
üben,to practice,Verben 
