German,English,Category
schnell,fast,alle Wörter
langsam,slow,alle Wörter
richtig,right,alle Wörter
falsch,wrong,alle Wörter
schön,nice,alle Wörter
hässlich,not nice,alle Wörter
gro&,big,alle Wörter
klein,small,alle Wörter
trocken,dry,alle Wörter
nass,wet,alle Wörter
alt,old,alle Wörter
jung,young,alle Wörter
frish,fresch,alle Wörter
neu,new,alle Wörter
gut,good,alle Wörter
schlecht,bad,alle Wörter
lang,long,alle Wörter
kurz,short,alle Wörter
hart,hard,alle Wörter
weich,soft,alle Wörter
kalt,cold,alle Wörter
hei&t,hot,alle Wörter
kühl,cool,alle Wörter
warm,warm,alle Wörter
früh,early,alle Wörter
spät,late,alle Wörter
pünktlich,punctual,alle Wörter
unpünktlich,unpunctual,alle Wörter
gesund,healthy,alle Wörter
krank,sick,alle Wörter
ungesund,unhealthy,alle Wörter
leer,empty,alle Wörter
voll,full,alle Wörter
schwer,heavy,alle Wörter
leicht,light,alle Wörter
hell,bright,alle Wörter
dunkel,dark,alle Wörter
laut,loud,alle Wörter
leise,quiet,alle Wörter
bequem,comfortable,alle Wörter
unbequem,uncomfortable,alle Wörter
viel,a lot,alle Wörter
wenig,a few,alle Wörter
dünn,thin,alle Wörter
dick,thick,alle Wörter
glücklich,happy,alle Wörter
traurig,sad,alle Wörter
sauber,clean,alle Wörter
schmutzig,dirty,alle Wörter
interessant,interesting,alle Wörter
modern,modern,alle Wörter
kaputt,broken,alle Wörter
normal,normal,alle Wörter
